episode,timestep,raw_reward
1,8,-101.2835668289026
2,15,-100.86308199991083
3,25,-101.64950443551993
4,30,-101.636876579607
5,35,-102.25244471197868
6,45,-101.58252106561582
7,54,-101.06107245017502
8,62,-101.59048956233332
9,69,-101.00381144463874
10,76,-101.84962514803595
11,85,-102.85960585224883
12,100,-103.74755354909588
13,105,-101.5290376247724
14,113,-101.1203920218465
15,117,-101.34238413141544
16,124,-101.15458282551512
17,143,-102.31328512532627
18,149,-101.61426444546585
19,154,-101.3294877684823
20,159,-101.59926378424115
